"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"NPMOD","NPMOD","Non Parametric Module","0.1.0","GPL (>= 2)","6.0.1",9,">= 3.0.0"
"AHMbook","AHMbook","Functions and Data for the Book 'Applied Hierarchical Modeling","0.1.3","GPL (>= 3)",NA,11,">= 2.10"
"CATT","CATT","The Cochran-Armitage Trend Test","1.0","GPL-3",NA,1,">= 3.3.2"
"checkarg","checkarg","Check the Basic Validity of a (Function) Argument","0.1.0","GPL (>= 2)","6.0.1",0,">= 3.1.0"
"kdevine","kdevine","Multivariate Kernel Density Estimation with Vine Copulas","0.3.0","GPL-3 | file LICENSE","5.0.1",12,NA
"numKM","numKM","Create a Kaplan-Meier Plot with Numbers at Risk","0.1.0","GPL-3",NA,3,NA
"poisbinom","poisbinom","A Faster Implementation of the Poisson-Binomial Distribution","1.0.0","GPL (>= 2)",NA,2,NA
"printr","printr","Automatically Print R Objects to Appropriate Formats According","0.1","GPL","6.0.1",3,NA
"GUIgems","GUIgems","Graphical User Interface for Generalized Multistate Simulation","0.1","GPL-3","6.0.1.9000",12,NA
"easyNCDF","easyNCDF","Tools to Easily Read/Write NetCDF Files into/from","0.0.1","LGPL-3",NA,2,">= 2.14.1"
"zeligverse","zeligverse","Easily Install and Load Stable Zelig Packages","0.1.0","GPL (>= 3)","6.0.1",8,NA
"ExcessMass","ExcessMass","Excess Mass Calculation and Plots","1.0","LGPL",NA,1,NA
"PROscorer","PROscorer","Functions to Score Commonly-Used Patient-Reported Outcome (PRO)","0.0.1","MIT + file LICENSE","6.0.1",5,NA
"rif","rif","Client for 'Neuroscience' Information Framework 'APIs'","0.1.0","MIT + file LICENSE","6.0.1",9,NA
"PairwiseD","PairwiseD","Pairing Up Units and Vectors in Panel Data Setting","0.9.58","GPL-2","6.0.1",3,NA
"PROscorerTools","PROscorerTools","Tools to Score Patient-Reported Outcome (PRO) and Other","0.0.1","MIT + file LICENSE","6.0.1",4,NA
"slim","slim","Singular Linear Models for Longitudinal Data","0.1.0","GPL-3","5.0.1",10,">= 3.2.0"
"gomms","gomms","GLM-Based Ordination Method","1.0","GPL (>= 2)",NA,0,NA
"GEEmediate","GEEmediate","Mediation Analysis for Generalized Linear Models Using the","1.0.0","GPL (>= 3)","5.0.1",1,">= 3.3.0"
"learnrbook","learnrbook","Datasets for Aphalo's ""Learn R"" Book","0.0.2","GPL (>= 2)","6.0.1",4,">= 3.3.0"
"mbgraphic","mbgraphic","Measure Based Graphic Selection","1.0.0","GPL (>= 2)","6.0.1",22,">= 3.1"
"diffMeshGP","diffMeshGP","Multi-Fidelity Computer Experiments Using the Tuo-Wu-Yu Model","0.1.0","GPL (>= 2)","6.0.1",1,NA
"EpistemicGameTheory","EpistemicGameTheory","Constructing an Epistemic Model for the Games with Two Players","0.1.0","GPL-3","6.0.1",4,NA
"fastTextR","fastTextR","An Interface to the 'fastText' Library","1.0","BSD_3_clause + file LICENSE","5.0.1",4,NA
"iGSEA","iGSEA","Integrative Gene Set Enrichment Analysis Approaches","1.2","GPL-2",NA,0,NA
"jocre","jocre","Joint Confidence Regions","0.1","GPL-2",NA,3,NA
"lifelogr","lifelogr","Life Logging","0.1.0","GPL (>= 2)","6.0.1",17,">= 3.0.2"
"shinycssloaders","shinycssloaders","Add CSS Loading Animations to 'shiny' Outputs","0.1.0","GPL-3","5.0.1",4,NA
"sinib","sinib","Sum of Independent Non-Identical Binomial Random Variables","1.0.0","GPL-3","6.0.1",0,NA
"usedist","usedist","Distance Matrix Utilities","0.1.0","GPL-3","6.0.1",1,NA
"iECAT","iECAT","Integrating External Controls into Association Test","0.8","GPL (>= 2)",NA,2,">= 2.13.0"
"lhmixr","lhmixr","Fit Sex-Specific Life History Models with Missing","0.1.0","GPL (>= 3)","6.0.1",0,">= 3.2.0"
"pawls","pawls","Penalized Adaptive Weighted Least Squares Regression","1.0.0","GPL-2","6.0.1",1,NA
"WebGestaltR","WebGestaltR","The R Version of WebGestalt","0.0.5","LGPL",NA,8,">= 3.3"
"lindia","lindia","Automated Linear Regression Diagnostic","0.9","MIT + file LICENSE","6.0.1",3,">= 3.2.2"
"lsasim","lsasim","Simulate Large Scale Assessment Data","1.0.0","GPL-3","5.0.1",0,">= 3.3.1"
"outbreaks","outbreaks","A Collection of Disease Outbreak Data","1.0.0","GPL (>= 2)","5.0.1",2,">= 3.0.0"
"qrsvm","qrsvm","SVM Quantile Regression with the Pinball Loss","0.2.1","GPL-2","6.0.1",6,NA
"AcuityView","AcuityView","A Package for Displaying Visual Scenes as They May Appear to an","0.1","GPL (>= 2)","6.0.1.9000",7,">= 3.0.0"
"plotprotein","plotprotein","Development of Visualization Tools for Protein Sequence","1.0","GPL-3",NA,5,NA
"IndianTaxCalc","IndianTaxCalc","Indian Income Tax Calculator","1.0.1","GPL (>= 2)",NA,0,NA
"RPEXE.RPEXT","RPEXE.RPEXT","Reduced Piecewise Exponential Estimate/Test Software","0.0.1","GPL-3","6.0.1.9000",4,">= 3.2.2"
"PROreg","PROreg","Patient Reported Outcomes Regression Analysis","1.0","GPL",NA,7,NA
"pwr2","pwr2","Power and Sample Size Analysis for One-way and Two-way ANOVA","1.0","GPL-2",NA,0,NA
"cowbell","cowbell","Performs Segmented Linear Regression on Two Independent","0.1.0","GPL-3","6.0.1",7,">= 3.3.0"
"crunchy","crunchy","Shiny Apps on Crunch","0.2.0","LGPL (>= 3)","6.0.0",4,">= 3.0.0"
"ContourFunctions","ContourFunctions","Create Contour Plots from Data or a Function","0.1.0","GPL-3","6.0.1",4,NA
"DataGraph","DataGraph","Export Data from R so DataGraph can Read it","1.0","GPL (>= 2)",NA,2,NA
"idar","idar","Individual Diversity-Area Relationships","1.0","GPL (>= 2)",NA,6,NA
"seasonalview","seasonalview","Graphical User Interface for Seasonal Adjustment","0.1.3","GPL-3","5.0.1",8,NA
"kmcudaR","kmcudaR","'Yinyang' K-Means and K-NN using NVIDIA CUDA","1.0.0","MIT + file LICENSE","5.0.1.9000",4,">= 3.3.2"
"m2b","m2b","Movement to Behaviour Inference using Random Forest","1.0","GPL-3","6.0.1",15,">= 3.3.0"
"qrmix","qrmix","Quantile Regression Mixture Models","0.9.0","LGPL","6.0.1",2,NA
"discord","discord","Functions for Discordant Kinship Modeling","0.1","GPL-3","6.0.1.9000",2,NA
"dsrTest","dsrTest","Tests and Confidence Intervals on Directly Standardized Rates","0.1","GPL (>= 2)","6.0.1",4,NA
"KSEAapp","KSEAapp","Kinase-Substrate Enrichment Analysis","0.99.0","MIT + file LICENSE","6.0.1",7,">= 2.10"
"mut","mut","Pairwise Likelihood Ratios","1.1","GPL (>= 2)",NA,4,">= 3.2.0"
"ncdump","ncdump","Extract Metadata from 'NetCDF' Files as Data Frames","0.0.3","GPL-3","6.0.1",6,NA
"onehot","onehot","Fast Onehot Encoding for Data.frames","0.1.1","MIT + file LICENSE","6.0.1",0,NA
"angstroms","angstroms","Tools for 'ROMS' the Regional Ocean Modeling System","0.0.1","GPL-3","6.0.1",8,">= 3.3.0"
"EML","EML","Read and Write Ecological Metadata Language Files","1.0.1","FreeBSD","5.0.1",7,NA
"MHTmult","MHTmult","Multiple Hypotheses Testing for Multiple Families/Groups","0.1.0","GPL (>= 2)",NA,3,NA
"MetaboList","MetaboList","Annotation of Metabolites from Liquid Chromatography-Mass","1.0","GPL-2",NA,1,">= 3.2.3"
"pafdR","pafdR","Book Companion for Processing and Analyzing Financial Data with","1.0","GPL-2","6.0.1",9,">= 3.3.3"
"SPADAR","SPADAR","Spherical Projections of Astronomical Data","1.0","GPL (>= 3)",NA,2,NA
"ChocoLattes","ChocoLattes","Processing Data from Lattes CV Files","0.1.0","GPL-2","6.0.1",10,">= 3.3.1"
"dataseries","dataseries","Switzerland's Data Series in One Place","0.1.0","GPL-3","6.0.0",1,NA
"mockr","mockr","Mocking in R","0.1","GPL-3","6.0.1",3,NA
"casebase","casebase","Fitting Flexible Smooth-in-Time Hazards and Risk Functions via","0.1.0","MIT + file LICENSE","6.0.1",10,">= 3.3.1"
"gsrsb","gsrsb","Group Sequential Refined Secondary Boundary","1.0.3","GPL-3","6.0.1",4,NA
"WikidataQueryServiceR","WikidataQueryServiceR","API Client Library for 'Wikidata Query Service'","0.1.0","MIT + file LICENSE","5.0.1",5,">= 3.1.2"
"aSPC","aSPC","An Adaptive Sum of Powered Correlation Test (aSPC) for Global","0.1.2","GPL-3","5.0.1",3,NA
"mstherm","mstherm","Analyze MS/MS Protein Melting Data","0.4.7","GPL-3","6.0.1",10,NA
"bulletr","bulletr","Algorithms for Matching Bullet Lands","0.1","GPL-3","6.0.1",9,">= 3.1"
"coxphMIC","coxphMIC","Sparse Estimation of Cox Proportional Hazards Models via","0.1.0","GPL-2","6.0.1",5,">= 3.1.0"
"md.log","md.log","Produces Markdown Log File with a Built-in Function Call","0.1.1","MIT + file LICENSE","6.0.1",1,NA
"censCov","censCov","Linear Regression with a Randomly Censored Covariate","1.0-0","GPL (>= 3)",NA,1,NA
"RandMeta","RandMeta","Efficient Numerical Algorithm for Exact Inference in Meta","0.1.0","GPL-2","6.0.1",0,">= 2.10"
"zip","zip","Cross-Platform 'zip' Compression","1.0.0","CC0","6.0.1",3,NA
"ajv","ajv","Another JSON Schema Validator","1.0.0","GPL-2","5.0.1",6,NA
"BarBorGradient","BarBorGradient","Function Minimum Approximator","1.0.5","GPL-3","6.0.1",1,">= 3.0.0"
"ider","ider","Various Methods for Estimating Intrinsic Dimension","0.1.0","GPL-2","6.0.1",2,">= 3.2.1"
"nonpar","nonpar","A Collection of Nonparametric Hypothesis Tests","1.0.0","GPL-3",NA,1,">= 3.3.1"
"ring","ring","Circular / Ring Buffers","1.0.0","MIT + file LICENSE","5.0.1",4,NA
"selectapref","selectapref","Analysis of Field and Laboratory Foraging","0.1.0","GPL (>= 2)","6.0.1",0,">= 3.2.3"
"startR","startR","Automatically Retrieve Multidimensional Distributed Data Sets","0.0.1","LGPL-3",NA,6,">= 2.14.1"
"chemmodlab","chemmodlab","A Cheminformatics Modeling Laboratory for Fitting and Assessing","1.0.0","GPL-3","5.0.1",21,">= 3.1.1"
"CrossScreening","CrossScreening","Cross-Screening in Observational Studies that Test Many","0.0.1","GPL-2","5.0.1",5,NA
"KENDL","KENDL","Kernel-Smoothed Nonparametric Methods for Environmental Exposure","1.0","GPL-2",NA,0,NA
"RpeakChrom","RpeakChrom","Tools for Chromatographic Column Characterization and Modelling","0.1.0","GPL-2",NA,4,">= 2.10.1"
"SADISA","SADISA","Species Abundance Distributions with Independent-Species","1.0","GPL-3","5.0.1",6,NA
"simMP","simMP","Simulate Somatic Mutations in Cancer Genomes from Mutational","0.17.3","GPL-2",NA,12,">= 3.0.0"
"statGraph","statGraph","Statistical Methods for Graphs","0.1.0","GPL (>= 3)","5.0.1",4,">= 2.10.0"
"unix","unix","Unix System Utilities","1.0","MIT + file LICENSE","6.0.1",0,NA
"PortfolioOptim","PortfolioOptim","Small/Large Sample Portfolio Optimization","1.0.3","GNU General Public License version 3","6.0.1",3,">= 3.3.0"
"PCADSC","PCADSC","Tools for Principal Component Analysis-Based Data Structure","0.8.0","GPL-2","5.0.1",5,">= 3.2.2"
"yarrr","yarrr","The Pirate's Guide to R","0.0.9","GPL-2","5.0.1",4,NA
"icosa","icosa","Global Triangular and Penta-Hexagonal Grids Based on Tessellated","0.9.80","GPL-3","5.0.1",10,">= 3.2.2"
"TSGSIS","TSGSIS","Two Stage-Grouped Sure Independence Screening","0.1","GPL (>= 2)","6.0.1",3,">= 3.2.3"
"uqr","uqr","Unconditional Quantile Regression","0.1.0","GPL (>= 2)","5.0.1",5,">= 3.3.1"
"WLreg","WLreg","Regression Analysis Based on Win Loss Endpoints","1.0.0","GPL (>= 2)","5.0.1",3,">= 3.1.2"
"mro","mro","Multiple Correlation","0.1.1","GPL-2","6.0.1",2,">= 3.1.0"
"complexity","complexity","Calculate the Proportion of Permutations in Line with an","1.0.0","GPL (>= 2)",NA,1,NA
"bayesCL","bayesCL","Bayesian Inference on a GPU using OpenCL","0.0.1","GPL (>= 3)","6.0.1",0,">= 2.14.0"
"SeerMapper2010East","SeerMapper2010East","Supplemental U. S. 2010 Census Tract Boundaries for 23 Eastern","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"SeerMapper2010West","SeerMapper2010West","Supplemental U.S. 2010 Census Tract Boundaries for 14 Western","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"StatPerMeCo","StatPerMeCo","Statistical Performance Measures to Evaluate Covariance Matrix","0.1.0","GPL (>= 2)",NA,0,NA
"thankr","thankr","Find Out Who Maintains the Packages you Use","1.0.0","MIT + file LICENSE","6.0.1",4,NA
"fpest","fpest","Estimating Finite Population Total","0.1.1","GPL-3","6.0.1",0,NA
"nopaco","nopaco","A Non-Parametric","0.99.4","GPL (>= 3)","5.0.1",5,NA
"R2ucare","R2ucare","Goodness-of-Fit Tests for Capture-Recapture Models","1.0.0","GPL (>= 2)","5.0.1.9000",6,">= 3.3.0"
"SeerMapper2010Regs","SeerMapper2010Regs","Supplemental U. S. 2010 Census Tract Boundaries for 15 States","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"spec","spec","A Data Specification Format and Interface","0.1.1","GPL-3","6.0.1",4,">= 2.10"
"Tnseq","Tnseq","Identification of Conditionally Essential Genes in Transposon","0.1.1","GPL (>= 3)",NA,6,NA
"tubern","tubern","R Client for the YouTube Analytics and Reporting API","0.1.0","MIT + file LICENSE","6.0.1",6,">= 3.2.0"
"wrangle","wrangle","A Systematic Data Wrangling Idiom","0.3","GPL-3","6.0.1",4,NA
"marcher","marcher","Migration and Range Change Estimation in R","0.0-2","GPL-2","6.0.1",15,">= 3.3.0"
"optrcdmaeAT","optrcdmaeAT","Optimal Row-Column Designs for Two-Colour cDNA Microarray","1.0.0","GPL-2",NA,4,">= 3.3.2"
"SeerMapperEast","SeerMapperEast","Supplemental U. S. 2000 Census Tract Boundaries for 23 Eastern","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"SeerMapperWest","SeerMapperWest","Supplemental U.S. 2000 Census Tract Boundaries for 14 Western","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"fastqcr","fastqcr","Quality Control of Sequencing Data","0.1.0","GPL-2","6.0.1",15,">= 3.1.2"
"GADAG","GADAG","A Genetic Algorithm for Learning Directed Acyclic Graphs","0.99.0","GPL-2","6.0.1",5,NA
"GLIDE","GLIDE","Global and Individual Tests for Direct Effects","1.0.1","GPL (>= 2)",NA,4,">= 2.10"
"D3GB","D3GB","Interactive Genome Browser with R","1.1","CC BY-NC-SA 4.0",NA,6,">= 3.0.0"
"lspline","lspline","Linear Splines with Convenient Parametrisations","1.0-0","MIT + file LICENSE","6.0.1",6,NA
"SeerMapperRegs","SeerMapperRegs","Supplemental U. S. 2000 Census Tract Boundary for 15 States with","1.2.0","GPL (>= 2)",NA,1,">= 3.2.0"
"mRchmadness","mRchmadness","Numerical Tools for Filling Out an NCAA Basketball Tournament","1.0.0","GPL-2","6.0.1",8,">= 3.3.0"
"skeletor","skeletor","An R Package Skeleton Generator","1.0.0","MIT + file LICENSE","5.0.1",1,">= 3.0.0"
"duckduckr","duckduckr","Simple Client for the DuckDuckGo Instant Answer API","1.0.0","MIT + file LICENSE","6.0.1",4,NA
"IMTest","IMTest","Information Matrix Test for Generalized Partial Credit Models","1.0.0","GPL (>= 2)","6.0.1",6,">= 3.3.0"
"MedDietCalc","MedDietCalc","Multi Calculator to Compute Scores of Adherence to Mediterranean","0.1.0","GPL-3","5.0.1",4,NA
"micEconIndex","micEconIndex","Price and Quantity Indices","0.1-6","GPL (>= 2)",NA,3,">= 2.4.0"
"secure","secure","Sequential Co-Sparse Factor Regression","0.1","GPL (>= 3.0)","5.0.1",4,">= 3.3.1"
"sylcount","sylcount","Syllable Counting and Readability Measurements","0.1-0","BSD 2-clause License + file LICENSE","6.0.1",0,">= 3.0.0"
"classifierplots","classifierplots","Generates a Visualization of Classifier Performance as a Grid of","1.3.1","BSD 3-clause License + file LICENSE","5.0.1",10,">= 3.1"
"CoFRA","CoFRA","Complete Functional Regulation Analysis","0.1001","GPL-2 | file LICENSE","5.0.1",7,">= 3.2.3"
"eshrink","eshrink","Shrinkage for Effect Estimation","0.1.0","GPL (>= 2)","5.0.1",2,">= 3.2.0"
"zfa","zfa","Zoom-Focus Algorithm","1.0","GPL","5.0.1",1,">= 3.1.0"
"HYRISK","HYRISK","Hybrid Methods for Addressing Uncertainty in RISK Assessments","1.2","GPL-3",NA,11,">= 3.2.0"
"TSMN","TSMN","Truncated Scale Mixtures of Normal Distributions","1.0.0","GPL (>= 3.0)",NA,0,NA
"afmToolkit","afmToolkit","Functions for Atomic Force Microscope Force-Distance Curves","0.0.1","GPL","5.0.1",11,">= 3.2.2"
"groupsubsetselection","groupsubsetselection","Group Subset Selection","1.0.3","GPL-2",NA,0,NA
"nlshelper","nlshelper","Convenient Functions for Non-Linear Regression","0.2","GPL-2","5.0.1",5,NA
"vesselr","vesselr","Gradient and Vesselness Tools for Arrays and NIfTI Images","0.1.0","GPL-2","6.0.1",4,NA
"xbreed","xbreed","Genomic Simulation of Purebred and Crossbred Populations","1.0.0","GPL-3","6.0.1",5,">= 3.3.2"
"xyz","xyz","The 'xyz' Algorithm for Fast Interaction Search in","0.1","GPL","5.0.1",5,NA
"enrichR","enrichR","Provides an R Interface to 'Enrichr'","1.0","GPL (>= 2)","6.0.1",4,">= 3.0.0"
"medicare","medicare","Tools for Obtaining and Cleaning Medicare Public Use Files","0.1.0","MIT + file LICENSE","5.0.1",7,">= 2.10"
"grapes","grapes","Make Binary Operators","1.0.0","GPL (>= 3)","5.0.1",4,">= 3.0.0"
"InterfaceqPCR","InterfaceqPCR","GUI to Analyse qPCR Results after PMA Treatment or not","1.0","GPL-2","5.0.1",10,">= 3.1.0"
"SARP.moodle","SARP.moodle","XML Output Functions for Easy Creation of Moodle Questions","0.3.6","Artistic-2.0",NA,2,NA
"tensorr","tensorr","Sparse Tensors in R","0.1.0","GPL-3","6.0.1",10,">= 3.3.3"
"aptg","aptg","Automatic Phylogenetic Tree Generator","0.1.0","MIT + file LICENSE","6.0.1",9,NA
"focusedMDS","focusedMDS","Focused, Interactive Multidimensional Scaling","1.2.4","GNU General Public License","5.0.1",2,">= 3.3.1"
"kscons","kscons","A Bayesian Approach for Protein Residue Contact Prediction using","0.7.0","GPL (>= 2)",NA,0,">= 2.10"
"optim.functions","optim.functions","Standard Benchmark Optimization Functions","0.1","MIT + file LICENSE","5.0.1",6,">= 3.0"
"BLModel","BLModel","Black-Litterman Posterior Distribution","1.0.2","GNU General Public License version 3","6.0.1",2,">= 3.3.0"
"fam2r","fam2r","From 'Familias' to R","1.2","GPL (>= 2)",NA,2,">= 3.2.0"
"metavcov","metavcov","Variance-Covariance Matrix for Multivariate Meta-Analysis","0.1","GPL (>= 2)",NA,1,NA
"moezipfR","moezipfR","Marshall-Olkin Extended Zipf","1.0","GPL-3","5.0.1",5,">= 2.0.1"
"patternize","patternize","Quantification of Color Pattern Variation","0.0.1","GPL-3","6.0.1",6,">= 3.2.2"
"tilegramsR","tilegramsR","R Spatial Data for Tilegrams","0.1.4","MIT + file LICENSE","5.0.1",9,">= 3.1.0"
"tsqn","tsqn","Applications of the Qn Estimator to Time Series (Univariate and","1.0.0","GPL (>= 2)","6.0.1",3,">= 3.2.3"
"itan","itan","Item Analysis for Multiple Choice Tests","1.0","GPL (>= 2)","6.0.1",2,NA
"shinyHeatmaply","shinyHeatmaply","Deploy 'heatmaply' using 'shiny'","0.1.0","GPL-2 | GPL-3","6.0.1",13,">= 2.3.0"
"NetworkRiskMeasures","NetworkRiskMeasures","Risk Measures for (Financial) Networks","0.1.1","GPL-3","5.0.1",6,NA
"slimrec","slimrec","Sparse Linear Method to Predict Ratings and Top-N","0.1.0","GPL-3","5.0.1",7,">= 3.3.3"
"TeachBayes","TeachBayes","Teaching Bayesian Inference","0.1.0","GPL (>= 2)",NA,7,NA
"vortexRdata","vortexRdata","Example Data for R Package 'vortexR'","1.0.3","GPL-3","6.0.1",0,">= 3.1.0"
"docstring","docstring","Provides Docstring Capabilities to R Functions","1.0.0","GPL-2","6.0.1",7,NA
"IPWsurvival","IPWsurvival","Propensity Score Based Adjusted Survival Curves and","0.5","GPL (>= 2)",NA,2,">= 2.10"
"PCFAM","PCFAM","Computation of Ancestry Scores with Mixed Families and Unrelated","1.0","GPL-2",NA,0,NA
"affluenceIndex","affluenceIndex","Affluence Indices","1.0","GPL-2",NA,1,NA
"summariser","summariser","Easy Calculation and Visualisation of Confidence Intervals","0.1.0","GPL-3","6.0.1",5,NA
"tsxtreme","tsxtreme","Bayesian Modelling of Extremal Dependence in Time Series","0.3","GPL (>= 2)",NA,5,">= 3.3.3"
"CVR","CVR","Canonical Variate Regression","0.1.1","GPL (>= 2)","6.0.1",4,">= 3.2.1"
"pathmapping","pathmapping","Compute Deviation and Correspondence Between Spatial Paths","1.0.1","GPL-2",NA,0,NA
"xlsimple","xlsimple","'XLConnect' Wrapper","0.0.1","GPL-3","6.0.1",2,">= 3.2.0"
"FMC","FMC","Factorial Experiments with Minimum Level Changes","1.0.0","GPL (>= 2)","5.0.1",3,NA
"gpg","gpg","GNU Privacy Guard for R","0.1","MIT + file LICENSE","5.0.1.9000",3,NA
"orgutils","orgutils","Helper Functions for Org Files","0.4-1","GPL (>= 2)",NA,2,NA
"rnaturalearth","rnaturalearth","World Map Data from Natural Earth","0.1.0","MIT + file LICENSE","6.0.1",12,">= 3.1.1"
"rolr","rolr","Finding Optimal Three-Group Splits Based on a Survival Outcome","1.0.0","GPL-3","5.0.1",5,NA
"stmgp","stmgp","Rapid and Accurate Genetic Prediction Modeling for Genome-Wide","1.0","GPL (>= 2)",NA,1,NA
"EstimateGroupNetwork","EstimateGroupNetwork","Perform the Joint Graphical Lasso and Selects Tuning Parameters","0.1.2","GPL (>= 2)",NA,6,NA
"Rvoterdistance","Rvoterdistance","Calculates the Distance Between Voter and Multiple Polling","1.1","GPL (>= 2)",NA,2,NA
"shinyShortcut","shinyShortcut","Creates an Executable Shortcut for Shiny Applications","0.1.0","GPL (>= 3) | file LICENSE","6.0.1",2,">= 3.2.3"
"OSCV","OSCV","One-Sided Cross-Validation","1.0","GPL-2","6.0.1",1,">= 3.1.1"
"BASS","BASS","Bayesian Adaptive Spline Surfaces","0.1.0","GPL-3","5.0.1.9000",0,NA
"BCSub","BCSub","A Bayesian Semiparametric Factor Analysis Model for Subtype","0.2","GPL-2","5.0.1",6,">= 3.0"
"CNull","CNull","Fast Algorithms for Frequency-Preserving Null Models in Ecology","1.0","GPL-3",NA,5,NA
"FlexDir","FlexDir","Tools to Work with the Flexible Dirichlet Distribution","1.0","GPL (>= 2)","6.0.0",5,">= 3.0.0"
"RankingProject","RankingProject","Visualizations for Comparing Populations","0.1.1","GPL-2","5.0.1",3,">= 2.10"
"rolypoly","rolypoly","Identifying Trait-Relevant Functional Annotations","0.1.0","GPL-3","6.0.1",12,">= 3.1.3"
"gee4","gee4","Generalised Estimating Equations (GEE/WGEE) using 'Armadillo'","0.1.0.0","GPL (>= 2)","6.0.1",5,">= 3.2.2"
"gatepoints","gatepoints","Easily Gate or Select Points on a Scatter Plot","0.0.1","GPL (>= 2)","5.0.1",3,">= 3.3.1"
"outreg","outreg","Regression Table for Publication","0.2.2","MIT + file LICENSE","5.0.1",10,">= 3.0"
"collpcm","collpcm","Collapsed Latent Position Cluster Model for Social Networks","1.0","GPL-3",NA,3,">= 2.10"
"radmixture","radmixture","Calculate Population Stratification","0.0.1","MIT + file LICENSE","6.0.1",7,">= 3.1.0"
"cmpprocess","cmpprocess","Flexible Modeling of Count Processes","1.0","GPL-3","6.0.0",2,NA
"iNextPD","iNextPD","Interpolation and Extrapolation for Phylogenetic Diversity","0.3.2","GPL (>= 3)","5.0.1",10,">= 3.1.2"
"rdataretriever","rdataretriever","R Interface to the Data Retriever","1.0.0","MIT + file LICENSE","5.0.1",1,">= 3.0.0"
"HoRM","HoRM","Supplemental Functions and Datasets for ""Handbook of Regression","0.1.0","GPL (>= 2)",NA,5,">= 3.2.0"
"SigOptR","SigOptR","R API Wrapper for SigOpt","0.0.1","MIT + file LICENSE","6.0.1.9000",2,">= 3.2.0"
"CONS","CONS","Consonance Analysis Module","0.1.0","GPL (>= 2)","5.0.1",7,">= 3.0.0"
"iSDM","iSDM","Invasive Species Distribution Modelling","1.0","GPL-3","6.0.1",15,">= 3.2.0"
"SymTS","SymTS","Symmetric Tempered Stable Distributions","1.0","GPL (>= 3)",NA,0,NA
"VertexSort","VertexSort","Network Decomposition and Randomization","0.1-0","GPL (>= 2)",NA,2,">= 3.3.2"
"badger","badger","Badge for R Package","0.0.2","Artistic-2.0","5.0.1",2,">= 3.3.0"
"BCellMA","BCellMA","B Cell Receptor Somatik Hyper Mutation Analysis","0.1","GPL (>= 2)","5.0.1",6,">= 3.2.5"
"NHLData","NHLData","Scores for Every Season Since the Founding of the NHL in 1917","1.0.0","CC0",NA,0,">= 2.10"
"readOffice","readOffice","Read Text Out of Modern Office Files","0.2.2","Unlimited","6.0.1",4,NA
"cpr","cpr","Control Polygon Reduction","0.2.3","GPL (>= 2)","6.0.1",18,">= 3.0.2"
"otinference","otinference","Inference for Optimal Transport","0.1.0","GPL-2","5.0.1",5,NA
"remindR","remindR","Insert and Extract ""Reminders"" from Function Comments","0.0.1","GPL-2 | GPL-3","6.0.1",3,">= 3.3.2"
"edarf","edarf","Exploratory Data Analysis using Random Forests","1.0.0","MIT + file LICENSE","5.0.1",13,">= 2.10"
"funchir","funchir","Convenience Functions by Michael Chirico","0.1.3","GPL (>= 2)",NA,1,">= 3.2.2"
"gt4ireval","gt4ireval","Generalizability Theory for Information Retrieval Evaluation","2.0","MIT + file LICENSE","6.0.1",3,">= 3.2"
"MLID","MLID","Multilevel Index of Dissimilarity","1.0.0","GPL-3","6.0.1",7,">= 3.0.2"
"twilio","twilio","An Interface to the Twilio API for R","0.1.0","MIT + file LICENSE","5.0.1",6,">= 3.1.0"
"VarED","VarED","Variance Estimation using Difference-Based Methods","1.0.0","GPL-2",NA,0,">= 3.3.0"
"CPsurv","CPsurv","Nonparametric Change Point Estimation for Survival Data","1.0.0","GPL-2","6.0.1",4,">= 3.1.0"
"SubgrpID","SubgrpID","Patient Subgroup Identification for Clinical Drug Development","0.10","GPL-3","6.0.1",7,">= 2.1.0"
"CensSpatial","CensSpatial","Censored Spatial Models","1.0","GPL (>= 2)",NA,11,NA
"cghRA","cghRA","Array CGH Data Analysis and Visualization","1.6.0","GPL (>= 3)",NA,11,">= 2.10"
"Dpit","Dpit","Distribution Pitting","1.0","GPL (>= 2)",NA,5,">= 3.1.1"
"cropdatape","cropdatape","Open Data of Agricultural Production of Crops of Peru","1.0.0","MIT + file LICENSE","5.0.1",0,">= 3.3.1"
"fitplc","fitplc","Fit Hydraulic Vulnerability Curves","1.0","GPL","5.0.1",1,NA
"gaiah","gaiah","Genetic and Isotopic Assignment Accounting for Habitat","0.0.2","CC0","5.0.1",13,">= 3.0.1"
"WPKDE","WPKDE","Weighted Piecewise Kernel Density Estimation","0.1","GPL",NA,1,NA
"DiffNet","DiffNet","Detection of Statistically Significant Changes in Complex","1.0-0","GPL (>= 3)",NA,12,">= 3.3.2"
"rcc","rcc","Parametric Bootstrapping to Control Rank Conditional Coverage","1.0.0","GPL (>= 2)","6.0.1",1,NA
"dirmcmc","dirmcmc","Directional Metropolis Hastings Algorithm","1.3.3","GPL-3","5.0.1",2,">= 2.10.0"
"extdplyr","extdplyr","Data Manipulation Extension Based on 'Dplyr' and 'Tidyr'","0.1.3","MIT + file LICENSE","6.0.1",3,NA
