"","pkg_name_vec","pkg_title.df"
"BMT","BMT","The BMT Distribution"
"curvecomp","curvecomp","Multiple Curve Comparisons Using Parametric Bootstrap"
"envDocument","envDocument","Document the R Working Environment"
"EQUIVNONINF","EQUIVNONINF","Testing for Equivalence and Noninferiority"
"fusionclust","fusionclust","Clustering and Feature Screening using L1 Fusion Penalty"
"gma","gma","Granger Mediation Analysis"
"IGP","IGP","Interchangeable Gaussian Process Models"
"kpeaks","kpeaks","Determination of K Using Peak Counts of Features for Clustering"
"SiER","SiER","Signal Extraction Approach for Sparse Multivariate Response"
"sure","sure","Surrogate Residuals for Ordinal and General Regression Models"
"BNSL","BNSL","Bayesian Network Structure Learning"
"leafSTAR","leafSTAR","Silhouette to Area Ratio of Tilted Surfaces"
"mcMST","mcMST","A Toolbox for the Multi-Criteria Minimum Spanning Tree Problem"
"tsgui","tsgui","Gui for Simulating Time Series"
"cytominer","cytominer","Methods for Image-Based Cell Profiling"
"randnet","randnet","Random Network Model Selection and Parameter Tuning"
"rbtt","rbtt","Alternative Bootstrap-Based t-Test Aiming to Reduce Type-I Error"
"SampleSize4ClinicalTrials","SampleSize4ClinicalTrials","Sample Size Calculation for Mean and Proportion Comparisons in"
"DES","DES","Discrete Event Simulation"
"googleComputeEngineR","googleComputeEngineR","R Interface with Google Compute Engine"
"MsdeParEst","MsdeParEst","Parametric Estimation in Mixed-Effects Stochastic Differential"
"wildcard","wildcard","Templates for Data Frames"
"AurieLSHGaussian","AurieLSHGaussian","Creates a Neighbourhood Using Locality Sensitive Hashing for"
"CATTexact","CATTexact","Computation of the p-Value for the Exact Conditional"
"gradientPickerD3","gradientPickerD3","Interactive Color Gradient Picker Using 'htmlwidgets' and the"
"linemap","linemap","Line Maps"
"MFT","MFT","The Multiple Filter Test for Change Point Detection"
"veccompare","veccompare","Perform Set Operations on Vectors, Automatically Generating All"
"CausalImpact","CausalImpact","Inferring Causal Effects using Bayesian Structural Time-Series"
"causalMGM","causalMGM","Causal Learning of Mixed Graphical Models"
"glassdoor","glassdoor","Interface to 'Glassdoor' API"
"ADPF","ADPF","Use Least Squares Polynomial Regression and Statistical Testing"
"auto.pca","auto.pca","Automatic Variable Reduction Using Principal Component Analysis"
"DCD","DCD","Differential Community Detection in Paired Biological Networks"
"medmod","medmod","Simple Mediation and Moderation Analysis"
"PredPsych","PredPsych","Predictive Approaches in Psychology"
"unifDAG","unifDAG","Uniform Sampling of Directed Acyclic Graphs"
"GauPro","GauPro","Gaussian Process Fitting"
"nos","nos","Compute Node Overlap and Segregation in Ecological Networks"
"opendotaR","opendotaR","Interface for OpenDota API"
"sutteForecastR","sutteForecastR","Forecasting Data using Alpha-Sutte Indicator"
"yuimaGUI","yuimaGUI","A Graphical User Interface for the 'yuima' Package"
"MTSYS","MTSYS","Methods in Mahalanobis-Taguchi (MT) System"
"CARS","CARS","Covariate Assisted Ranking and Screening for Large-Scale"
"fecR","fecR","Fishing Effort Calculator in R"
"GeoMongo","GeoMongo","Geospatial Queries Using 'PyMongo'"
"RTaxometrics","RTaxometrics","Taxometric Analysis"
"distrr","distrr","Estimate and Manage Empirical Distributions"
"repurrrsive","repurrrsive","Examples of Recursive Lists and Nested or Split Data Frames"
"SMM","SMM","Simulation and Estimation of Multi-State Discrete-Time"
"AWR","AWR","'AWS' Java 'SDK' for R"
"Bios2cor","Bios2cor","From Biological Sequences and Simulations to Correlation"
"cprr","cprr","Functions for Working with Danish CPR Numbers"
"mapReasy","mapReasy","Producing Administrative Boundary Map with Additional Features"
"modelwordcloud","modelwordcloud","Model Word Clouds"
"multilaterals","multilaterals","Transitive Index Numbers for Cross-Sections and Panel Data"
"PakPMICS2014Ch","PakPMICS2014Ch","Multiple Indicator Cluster Survey (MICS) 2014 Child"
"PakPMICS2014HH","PakPMICS2014HH","Multiple Indicator Cluster Survey (MICS) 2014 Household"
"PakPMICS2014HL","PakPMICS2014HL","Multiple Indicator Cluster Survey (MICS) 2014 Household Listing"
"PakPMICS2014Wm","PakPMICS2014Wm","Multiple Indicator Cluster Survey (MICS) 2014 Women"
"unjoin","unjoin","Separate a Data Frame by Normalization"
"csabounds","csabounds","Bounds on Distributional Treatment Effect Parameters"
"FactorsR","FactorsR","Identification of the Factors Affecting Species Richness"
"madrat","madrat","May All Data be Reproducible and Transparent (MADRaT) *"
"Ohit","Ohit","OGA+HDIC+Trim and High-Dimensional Linear Regression Models"
"TNC","TNC","Temporal Network Centrality (TNC) Measures"
"UdderQuarterInfectionData","UdderQuarterInfectionData","Udder Quarter Infection Data"
"FuzzyNumbers.Ext.2","FuzzyNumbers.Ext.2","Apply Two Fuzzy Numbers on a Monotone Function"
"graphql","graphql","A GraphQL Query Parser"
"RcextTools","RcextTools","Analytical Procedures in Support of Brazilian Public Sector"
"VDSPCalibration","VDSPCalibration","Statistical Methods for Designing and Analyzing a Calibration"
"billboard","billboard","Contains Data of Billboard Hot 100 Songs"
"BosonSampling","BosonSampling","Classical Boson Sampling"
"cbanalysis","cbanalysis","Coffee Break Descriptive Analysis"
"dplyrAssist","dplyrAssist","RStudio Addin for Teaching and Learning Data Manipulation Using"
"freqdom.fda","freqdom.fda","Dynamic Functional Principal Components"
"re2r","re2r","RE2 Regular Expression"
"RGeode","RGeode","Geometric Density Estimation"
"threshr","threshr","Threshold Selection and Uncertainty for Extreme Value Analysis"
"alphavantager","alphavantager","Lightweight R Interface to the Alpha Vantage API"
"doubcens","doubcens","Survivor Function Estimation for Doubly Interval-Censored"
"pcdpca","pcdpca","Dynamic Principal Components for Periodically Correlated"
"ShinyImage","ShinyImage","Image Manipulation, with an Emphasis on Journaling"
"AlphaVantageClient","AlphaVantageClient","Wrapper for Alpha Vantage API"
"BinarybalancedCut","BinarybalancedCut","Threshold Cut Point of Probability for a Binary Classifier Model"
"afpt","afpt","Tools for Modelling of Animal Flight Performance"
"cr17","cr17","Testing Differences Between Competing Risks Models and Their"
"DelayedEffect.Design","DelayedEffect.Design","Sample Size and Power Calculations using the APPLE and SEPPLE"
"EcoIndR","EcoIndR","Ecological Indicators"
"Inflation","Inflation","Core Inflation"
"jaod","jaod","Directory of Open Access Journals Client"
"rDotNet","rDotNet","Low-Level Interface to the '.NET' Virtual Machine Along the"
"ari","ari","Automated R Instructor"
"cdparcoord","cdparcoord","Top Frequency-Based Parallel Coordinates"
"npphen","npphen","Vegetation Phenological Cycle and Anomaly Detection using Remote"
"wktmo","wktmo","Converting Weekly Data to Monthly Data"
"cenGAM","cenGAM","Censored Regression with Smooth Terms"
"deltar","deltar","Calculation of Delta R Values"
"seedCCA","seedCCA","Seeded Canonical Correlation Analysis"
"ebmc","ebmc","Ensemble-Based Methods for Class Imbalance Problem"
"FPV","FPV","Testing Hypotheses via Fuzzy P-Value in Fuzzy Environment"
"LowWAFOMSobol","LowWAFOMSobol","Low WAFOM Sobol Sequence"
"mcompanion","mcompanion","Objects and Methods for Multi-Companion Matrices"
"MTE","MTE","Maximum Tangent Likelihood and Other Robust Estimation for"
"nomogramEx","nomogramEx","Extract Equations from a Nomogram"
"PeriodicTable","PeriodicTable","Periodic Table of the Elements"
"sensitivitymult","sensitivitymult","Sensitivity Analysis for Observational Studies with Multiple"
"caffsim","caffsim","Simulation of Plasma Caffeine Concentrations by Using Population"
"ccmm","ccmm","Compositional Mediation Model"
"dmutate","dmutate","Mutate Data Frames with Random Variates"
"PSIMEX","PSIMEX","SIMEX Algorithm on Pedigree Structures"
"SpatialEpiApp","SpatialEpiApp","A Shiny Web Application for the Analysis of Spatial and"
"LowWAFOMNX","LowWAFOMNX","Low WAFOM Niederreiter-Xing Sequence"
"prcr","prcr","Person-Centered Analysis"
"accSDA","accSDA","Accelerated Sparse Discriminant Analysis"
"Ecohydmod","Ecohydmod","Ecohydrological Modelling"
"mExplorer","mExplorer","Identifying Master Gene Regulators from Gene Expression and"
"multdyn","multdyn","Multiregression Dynamic Models"
"noncomplyR","noncomplyR","Bayesian Analysis of Randomized Experiments with Non-Compliance"
"Strategy","Strategy","Generic Framework to Analyze Trading Strategies"
"ActiveDriver","ActiveDriver","Finding Cancer Driver Proteins with Enriched Mutations in"
"genepop","genepop","Population Genetic Data Analysis Using Genepop"
"kntnr","kntnr","R Client for 'kintone' API"
"macc","macc","Mediation Analysis of Causality under Confounding"
"ConfigParser","ConfigParser","Package to Parse an INI File, Including Variable Interpolation"
"esreg","esreg","Joint Quantile and Expected Shortfall Regression"
"R2DGC","R2DGC","Multiple Peak Alignment for 2D Gas Chromatography Mass"
"simpleCache","simpleCache","Simply Caching R Objects"
"SLICER","SLICER","Selective Locally Linear Inference of Cellular Expression"
"STARTdesign","STARTdesign","Single to Double Arm Transition Design for Phase II Clinical"
"Wrapped","Wrapped","Computes Pdf, Cdf, Quantile, Random Numbers and Provides"
"InfoTrad","InfoTrad","Calculates the Probability of Informed Trading (PIN)"
"ircor","ircor","Correlation Coefficients for Information Retrieval"
"GRCdata","GRCdata","Parameter Inference and Optimal Designs for Grouped and/or"
"happybiRthday","happybiRthday","Calculate Upcoming Birthday Dates of Github Repos"
"ccRemover","ccRemover","Removes the Cell-Cycle Effect from Single-Cell RNA-Sequencing"
"sasMap","sasMap","Static 'SAS' Code Analysis"
"CompDist","CompDist","Multisection Composite Distributions"
"forwards","forwards","Data from Surveys Conducted by Forwards"
"gamCopula","gamCopula","Generalized Additive Models for Bivariate Conditional Dependence"
"AssayCorrector","AssayCorrector","Detection and Correction of Spatial Bias in HTS Screens"
"atlantistools","atlantistools","Process and Visualise Output from Atlantis Models"
"IceCast","IceCast","Apply Statistical Post-Processing to Improve Sea Ice Predictions"
"ggquiver","ggquiver","Quiver Plots for 'ggplot2'"
"GrpString","GrpString","Patterns and Statistical Differences Between Two Groups of"
"LBSPR","LBSPR","Length-Based Spawning Potential Ratio"
"PeakSegDP","PeakSegDP","Dynamic Programming Algorithm for Peak Detection in ChIP-Seq"
"samon","samon","Sensitivity Analysis for Missing Data"
"SorptionAnalysis","SorptionAnalysis","Static Adsorption Experiment Plotting and Analysis"
"CIplot","CIplot","Functions to Plot Confidence Interval"
"ConfoundedMeta","ConfoundedMeta","Sensitivity Analyses for Unmeasured Confounding in Meta-Analyses"
"fastJT","fastJT","Efficient Jonckheere-Terpstra Test Statistics for Robust Machine"
"lmmen","lmmen","Linear Mixed Model Elastic Net"
"tsiR","tsiR","An Implementation of the TSIR Model"
"rdpla","rdpla","Client for the Digital Public Library of America ('DPLA')"
"dataMeta","dataMeta","Create and Append a Data Dictionary for an R Dataset"
"IAbin","IAbin","Plotting N-T Plane for Decision on Performing an Interim"
"rasterList","rasterList","A Raster Where Cells are Generic Objects"
"rcv","rcv","Ranked Choice Voting"
"valaddin","valaddin","Functional Input Validation"
"vanddraabe","vanddraabe","Identification and Statistical Analysis of Conserved Waters in"
"vocaldia","vocaldia","Create and Manipulate Vocalisation Diagrams"
"GEint","GEint","Misspecified Models for Gene-Environment Interaction"
"IPMRF","IPMRF","Intervention in Prediction Measure (IPM) for Random Forests"
"poker","poker","Play Texas Hold Em Poker"
"PsyControl","PsyControl","CUSUM Person Fit Statistics"
"kangar00","kangar00","Kernel Approaches for Nonlinear Genetic Association Regression"
"OHPL","OHPL","Ordered Homogeneity Pursuit Lasso for Group Variable Selection"
"blink","blink","Record Linkage for Empirically Motivated Priors"
"default","default","Change the Default Arguments in R Functions"
"multiCA","multiCA","Multinomial Cochran-Armitage Trend Test"
"permGS","permGS","Permutational Group Sequential Test for Time-to-Event Data"
"statesRcontiguous","statesRcontiguous","Shapefiles for the Contiguous United States of America"
"restfulr","restfulr","R Interface to RESTful Web Services"
"ggversa","ggversa","Graficas Versatiles Con 'ggplot2'"
"italy","italy","The Italian Survey on Household and Wealth, 2008 and 2010"
"equaltestMI","equaltestMI","Examine Measurement Invariance via Equivalence Testing and"
"GFA","GFA","Group Factor Analysis"
"metaBMA","metaBMA","Bayesian Model Averaging for Random and Fixed Effects"
"RcppXPtrUtils","RcppXPtrUtils","XPtr Add-Ons for 'Rcpp'"
"soilcarbon","soilcarbon","Tools to Analyze Soil Carbon Database Created by Powell Center"
"SpatialAcc","SpatialAcc","Spatial Accessibility Measures"
"banR","banR","R Client for the BAN API"
"cranlike","cranlike","Tools for 'CRAN'-Like Repositories"
"echogram","echogram","Echogram Visualisation and Analysis"
"EMAtools","EMAtools","Data Management Tools for Real-Time Monitoring/Ecological"
"ggsignif","ggsignif","Significance Bars for 'ggplot2'"
"lmmpar","lmmpar","Parallel Linear Mixed Model"
"multistate","multistate","Fitting Multistate Models"
"rddensity","rddensity","Manipulation Testing Based on Density Discontinuity"
"svenssonm","svenssonm","Svensson's Method"
"ambhasGW","ambhasGW","Ground Water Modelling"
"GreedyEPL","GreedyEPL","Greedy Expected Posterior Loss"
"IrishDirectorates","IrishDirectorates","Irish Companies' Boards from 2003 to 2013"
"MixtureRegLTIC","MixtureRegLTIC","Fit Mixture Regression Models for Left-Truncated and"
"rtimicropem","rtimicropem","Supports the Analysis of RTI MicroPEM Output Files"
"subgroup.discovery","subgroup.discovery","Subgroup Discovery and Bump Hunting"
"tbl2xts","tbl2xts","Convert Tibbles or Data Frames to Xts Easily"
"ThermIndex","ThermIndex","Calculate Thermal Indexes"
"dejaVu","dejaVu","Multiple Imputation for Recurrent Events"
"DoEstRare","DoEstRare","Rare Variant Association Test Based on Position Density"
"fasjem","fasjem","A Fast and Scalable Joint Estimator for Learning Multiple"
"glmnetUtils","glmnetUtils","Utilities for 'Glmnet'"
"kpmt","kpmt","Known Population Median Test"
"structree","structree","Tree-Structured Clustering"
"nonlinearICP","nonlinearICP","Invariant Causal Prediction for Nonlinear Models"
"fChange","fChange","Change Point Analysis in Functional Data"
"rclipboard","rclipboard","Shiny/R Wrapper for 'clipboard.js'"
"RkMetrics","RkMetrics","Hybrid Mortality Estimation"
"CDVineCopulaConditional","CDVineCopulaConditional","Sampling from Conditional C- and D-Vine Copulas"
"mmtsne","mmtsne","Multiple Maps t-SNE"
"lsplsGlm","lsplsGlm","Classification using LS-PLS for Logistic Regression"
"mosaicCalc","mosaicCalc","Function-Based Numerical and Symbolic Differentiation and"
"optiSolve","optiSolve","Linear, Quadratic, and Rational Optimization"
"iRF","iRF","iterative Random Forests"
"maxTPR","maxTPR","Maximizing the TPR for a Specified FPR"
"unrepx","unrepx","Analysis and Graphics for Unreplicated Experiments"
"bayeslongitudinal","bayeslongitudinal","Adjust Longitudinal Regression Models Using Bayesian Methodology"
"concaveman","concaveman","A Very Fast 2D Concave Hull Algorithm"
"ggseqlogo","ggseqlogo","A 'ggplot2' Extension for Drawing Publication-Ready Sequence"
"MRTSampleSize","MRTSampleSize","A Sample Size Calculator for Micro-Randomized Trials"
"PowerNormal","PowerNormal","Power Normal Distribution"
"seqICP","seqICP","Sequential Invariant Causal Prediction"
"sidrar","sidrar","An Interface to IBGE's SIDRA API"
"GGEBiplots","GGEBiplots","GGE Biplots with 'ggplot2'"
"pcensmix","pcensmix","Model Fitting to Progressively Censored Mixture Data"
"c2c","c2c","Compare Two Classifications or Clustering Solutions of Varying"
"geoGAM","geoGAM","Select Sparse Geoadditive Models for Spatial Prediction"
"dsmodels","dsmodels","A Language to Facilitate the Creation and Visualization of Two-"
"prisonbrief","prisonbrief","Downloads and Parses World Prison Brief Data"
"vcov","vcov","Variance-Covariance Matrices and Standard Errors"
"spNNGP","spNNGP","Spatial Regression Models using Nearest Neighbor Gaussian"
"DCA","DCA","Dynamic Correlation Analysis for High Dimensional Data"
"BayesianGLasso","BayesianGLasso","Bayesian Graphical Lasso"
"FastSF","FastSF","Fast Structural Filtering"
"harmonicmeanp","harmonicmeanp","Harmonic Mean p-Values and Model Averaging by Mean Maximum"
"ivregEX","ivregEX","Create Independent Evidence in IV Analyses and Do Sensitivity"
"liquidSVM","liquidSVM","A Fast and Versatile SVM Package"
"OBRE","OBRE","Optimal B-Robust Estimator Tools"
"scifigure","scifigure","Visualize Reproducibility and Replicability in a Comparison of"
"diffpriv","diffpriv","Easy Differential Privacy"
"social","social","Social Autocorrelation"
"brlrmr","brlrmr","Bias Reduction with Missing Binary Response"
"Census2016","Census2016","Data from the Australian Census 2016"
"cnbdistr","cnbdistr","Conditional Negative Binomial Distribution"
"ercv","ercv","Fitting Tails by the Empirical Residual Coefficient of Variation"
"flexsurvcure","flexsurvcure","Flexible Parametric Cure Models"
"fragilityindex","fragilityindex","Fragility Index"
"LCox","LCox","A Tool for Selecting Genes Related to Survival Outcomes using"
"sergeant","sergeant","Tools to Transform and Query Data with 'Apache' 'Drill'"
"gh","gh","'GitHub' 'API'"
"llogistic","llogistic","The L-Logistic Distribution"
"senstrat","senstrat","Sensitivity Analysis for Stratified Observational Studies"
"centiserve","centiserve","Find Graph Centrality Indices"
"docker","docker","Wraps Docker Python SDK"
"DrImpute","DrImpute","Imputing Dropout Events in Single-Cell RNA-Sequencing Data"
"randomForestExplainer","randomForestExplainer","Explaining and Visualizing Random Forests in Terms of Variable"
"spongecake","spongecake","Transform a Movie into a Synthetic Picture"
"tetraclasse","tetraclasse","Satisfaction Analysis using Tetraclasse Model and Llosa Matrix"
"TSF","TSF","Two Stage Forecasting (TSF) for Long Memory Time Series in"
"credsubs","credsubs","Credible Subsets"
"geotoolsR","geotoolsR","Tools to Improve the Use of Geostatistic"
"interfr","interfr","Interference Color Charts for Polarized Light Microscopy"
"noaastormevents","noaastormevents","Explore NOAA Storm Events Database"
"facebook.S4","facebook.S4","Access to Facebook API V2 via a Set of S4 Classes"
"interim","interim","Scheduling Interim Analyses in Clinical Trials"
"integIRTy","integIRTy","Integrating Multiple Modalities of High Throughput Assays Using"
"NameNeedle","NameNeedle","Using Needleman-Wunsch to Match Sample Names"
"roots","roots","Reconstructing Ordered Ontogenic Trajectories"
"AutoDeskR","AutoDeskR","An Interface to the 'AutoDesk' 'API'"
"dGAselID","dGAselID","Genetic Algorithm with Incomplete Dominance for Feature"
"FUNLDA","FUNLDA","Genomic Latent Dirichlet Allocation"
"netcom","netcom","Dynamic Network Alignment"
"oompaData","oompaData","Data to Illustrate OOMPA Algorithms"
"PoloniexR","PoloniexR","Interface to the Poloniex Cryptocurrency Trading API"
"SFS","SFS","Similarity-First Search Seriation Algorithm"
"decomposedPSF","decomposedPSF","Time Series Prediction with PSF and Decomposition Methods (EMD"
"fcm","fcm","Inference of Fuzzy Cognitive Maps (FCMs)"
"lpdensity","lpdensity","Local Polynomial Density Estimation and Inference"
"mthapower","mthapower","Sample Size and Post-Hoc Power of Association Studies Involving"
"postlightmercury","postlightmercury","Parses Web Pages using Postlight Mercury"
"fcuk","fcuk","The Ultimate Helper for Clumsy Fingers"
"ggplotgui","ggplotgui","Create Ggplots via a Graphical User Interface"
"l1kdeconv","l1kdeconv","Deconvolution for LINCS L1000 Data"
"mixlink","mixlink","Mixture Link Regression"
"waccR","waccR","Cost of Capital by Sector Data"
"BNPMediation","BNPMediation","Bayesian Nonparametric Method for Mediation"
"SobolSequence","SobolSequence","Sobol Sequences with Better Two-Dimensional Projections"
"textile","textile","Textile Images"
"Autoplotprotein","Autoplotprotein","Development of Visualization Tools for Protein Sequence"
"correlbinom","correlbinom","Correlated Binomial Probabilities"
"ggChernoff","ggChernoff","Chernoff Faces for 'ggplot2'"
"mandelbrot","mandelbrot","Generates Views on the Mandelbrot Set"
"Robocoap","Robocoap","Generation of Dynamic Coappearance Matrices Within Texts"
"assocInd","assocInd","Implements New and Existing Association Indices for Constructing"
"awspack","awspack","Amazon Web Services Bundle Package"
"catSurv","catSurv","Computerized Adaptive Testing for Survey Research"
"coxphSGD","coxphSGD","Stochastic Gradient Descent log-Likelihood Estimation in Cox"
"midas","midas","Turn HTML 'Shiny'"
"numGen","numGen","Number Series Generator"
"SuperGauss","SuperGauss","Superfast Likelihood Inference for Stationary Gaussian Time"
"aws.cloudtrail","aws.cloudtrail","AWS CloudTrail Client Package"
"aws.sns","aws.sns","AWS SNS Client Package"
"aws.sqs","aws.sqs","AWS SQS Client Package"
"cepR","cepR","Busca CEPs Brasileiros"
"SSM","SSM","Fit and Analyze Smooth Supersaturated Models"
"wql","wql","Exploring Water Quality Monitoring Data"
"aurelius","aurelius","Generates PFA Documents from R Code and Optionally Runs Them"
"ecolottery","ecolottery","Coalescent-Based Simulation of Ecological Communities"
"mnis","mnis","Easy Downloading Capabilities for the Members' Name Information"
"autoBagging","autoBagging","Learning to Rank Bagging Workflows with Metalearning"
"aws.lambda","aws.lambda","AWS Lambda Client Package"
"geoSpectral","geoSpectral","Classes and Methods for Working with Spectral Data with"
"hurdlr","hurdlr","Zero-Inflated and Hurdle Modelling Using Bayesian Inference"
"kgschart","kgschart","KGS Rank Graph Parser"
"quickregression","quickregression","Quick Linear Regression"
"rsoi","rsoi","El Nino/Southern Oscillation (ENSO) Index"
"aws.iam","aws.iam","AWS IAM Client Package"
"fence","fence","Using Fence Methods for Model Selection"
"hbdct","hbdct","Hierarchical Bayesian Design for Clinical Trials"
"MicroMacroMultilevel","MicroMacroMultilevel","Micro-Macro Multilevel Modeling"
"SkyWatchr","SkyWatchr","Wrapper for the SkyWatch API"
"BiBitR","BiBitR","R Wrapper for Java Implementation of BiBit"
"hhh4contacts","hhh4contacts","Age-Structured Spatio-Temporal Models for Infectious Disease"
"scpm","scpm","An R Package for Spatial Smoothing"
"StratifiedRF","StratifiedRF","Builds Trees by Sampling Variables from Groups"
"BradleyTerryScalable","BradleyTerryScalable","Fits the Bradley-Terry Model to Potentially Large and Sparse"
"gsloid","gsloid","Global Sea Level and Oxygen Isotope Data"
"kazaam","kazaam","Tools for Tall Distributed Matrices"
"My.stepwise","My.stepwise","Stepwise Variable Selection Procedures for Regression Analysis"
"pinnacle.data","pinnacle.data","Market Odds Data from Pinnacle"
"assertable","assertable","Verbose Assertions for Tabular Data (Data.frames and"
"ExpRep","ExpRep","Experiment Repetitions"
"ForecastFramework","ForecastFramework","A Basis for Modular Model Creation"
"goldi","goldi","Gene Ontology Label Discernment and Identification"
"ppcc","ppcc","Probability Plot Correlation Coefficient Test"
"SFtools","SFtools","Space Filling Based Tools for Data Mining"
"sparsio","sparsio","I/O Operations with Sparse Matrices"
"FSTpackage","FSTpackage","Unified Sequence-Based Association Tests Allowing for Multiple"
"gmediation","gmediation","Mediation Analysis for Multiple and Multi-Stage Mediators"
"NCSampling","NCSampling","Nearest Centroid (NC) Sampling"
"Opportunistic","Opportunistic","Transmissions and Receptions in an End to End Network"
"otrimle","otrimle","Robust Model-Based Clustering"
"BayesTwin","BayesTwin","Bayesian Analysis of Item-Level Twin Data"
"CRANsearcher","CRANsearcher","RStudio Addin for Searching Packages in CRAN Database Based on"
"intRvals","intRvals","Analysis of Time-Ordered Event Data with Missed Observations"
"plater","plater","Read, Tidy, and Display Data from Microtiter Plates"
"pltesim","pltesim","Simulate Probabilistic Long-Term Effects in Models with Temporal"
"rattle.data","rattle.data","Rattle Datasets"
"twfy","twfy","Drive the API for TheyWorkForYou"
"net.security","net.security","Security Standards Data Sets"
"tidygenomics","tidygenomics","Tidy Verbs for Dealing with Genomic Data Frames"
"DZEXPM","DZEXPM","Estimation and Prediction of Skewed Spatial Processes"
"MultiSkew","MultiSkew","Measures, Tests and Removes Multivariate Skewness"
"BCgee","BCgee","Bias-Corrected Estimates for Generalized Linear Models for"
"corset","corset","Arbitrary Bounding of Series and Time Series Objects"
"JumpTest","JumpTest","Financial Jump Detection"
"m2r","m2r","Macaulay2 in R"
"mljar","mljar","R API for MLJAR"
"nlsrk","nlsrk","Runge-Kutta Solver for Function nls()"
"SCAT","SCAT","Summary based Conditional Association Test"
"MOQA","MOQA","Basic Quality Data Assurance for Epidemiological Research"
"rMouse","rMouse","Automate Mouse Clicks and Send Keyboard Input"
"rrcov3way","rrcov3way","Robust Methods for Multiway Data Analysis, Applicable also for"
"swapClass","swapClass","A Null Model Adapted to Abundance Class Data in Ecology"
"ftDK","ftDK","A Wrapper for the API of the Danish Parliament"
"anchoredDistr","anchoredDistr","Post-Processing for the Method of Anchored Distributions"
"mssqlR","mssqlR","MSSQL Querying using R"
"POMaSPU","POMaSPU","Adaptive Association Tests for Multiple Phenotypes using"
"rematch2","rematch2","Tidy Output from Regular Expression Matching"
"RLeafAngle","RLeafAngle","Estimates, Plots and Evaluates Leaf Angle Distribution"
"taxizedb","taxizedb","Tools for Working with 'Taxonomic' Databases"
"ukbabynames","ukbabynames","UK Baby Names Data"
"clinPK","clinPK","Clinical Pharmacokinetics Toolkit"
"namedCapture","namedCapture","Named Capture Regular Expressions"
"PeakError","PeakError","Compute the Annotation Error of Peak Calls"
"sfadv","sfadv","Advanced Methods for Stochastic Frontier Analysis"
"forecastSNSTS","forecastSNSTS","Forecasting for Stationary and Non-Stationary Time Series"
"processmonitR","processmonitR","Building Process Monitoring Dashboards"
"ECFsup","ECFsup","Equal Covariance Functions Testing by L2-Norm and Sup-Norm"
"secret","secret","Share Sensitive Information in R Packages"
"CityWaterBalance","CityWaterBalance","Track Flows of Water Through an Urban System"
"phenopix","phenopix","Process Digital Images of a Vegetation Cover"
"baseballDBR","baseballDBR","Sabermetrics and Advanced Baseball Statistics"
"dataverse","dataverse","Client for Dataverse 4 Repositories"
"GeoRange","GeoRange","Calculating Geographic Range from Occurrence Data"
"mccr","mccr","The Matthews Correlation Coefficient"
"pleiades","pleiades","Interface to the 'Pleiades' 'Archeological' Database"
"zooaRchGUI","zooaRchGUI","Analytical Tools for Zooarchaeological Data"
"nscprepr","nscprepr","Prepares and Writes Files to Submit to the National Student"
"ZIBseq","ZIBseq","Differential Abundance Analysis for Metagenomic Data via"
"d3Tree","d3Tree","Create Interactive Collapsible Trees with the JavaScript 'D3'"
"argon2","argon2","Secure Password Hashing"
"patternator","patternator","Feature Extraction from Female Brown Anole Lizard Dorsal"
"SanFranBeachWater","SanFranBeachWater","Downloads and Tidies the San Francisco Public Utilities"
"standardize","standardize","Tools for Standardizing Variables for Regression in R"
"featurizer","featurizer","Some Helper Functions that Help Create Features from Data"
"orderstats","orderstats","Efficiently Generates Random Order Statistic Variables"
"colorpatch","colorpatch","Optimized Rendering of Fold Changes and Confidence Values"
"soptdmaeA","soptdmaeA","Sequential Optimal Designs for Two-Colour cDNA Microarray"
"frequencies","frequencies","Create Frequency Tables with Counts and Rates"
"getmstatistic","getmstatistic","Quantifying Systematic Heterogeneity in Meta-Analysis"
"mixEMM","mixEMM","A Mixed-Effects Model for Analyzing Cluster-Level Non-Ignorable"
"Risk","Risk","Computes 26 Financial Risk Measures for Any Continuous"
"xsp","xsp","The Chi-Square Periodogram"
"gqlr","gqlr","'GraphQL' Server in R"
"iNOTE","iNOTE","Integrative Network Omnibus Total Effect Test"
"BAYESDEF","BAYESDEF","Bayesian Analysis of DSD"
"bdlp","bdlp","Transparent and Reproducible Artificial Data Generation"
"covfefe","covfefe","Covfefy Any Word, Sentence or Speech"
"gamlssbssn","gamlssbssn","Bimodal Skew Symmetric Normal Distribution"
"gghalfnorm","gghalfnorm","Create a Half Normal Plot Using 'ggplot2'"
"HDCI","HDCI","High Dimensional Confidence Interval Based on Lasso and"
"iadf","iadf","Analysis of Intra Annual Density Fluctuations"
"piton","piton","Parsing Expression Grammars in Rcpp"
"pwrAB","pwrAB","Power Analysis for AB Testing"
"rpst","rpst","Recursive Partitioning Survival Trees"
"themetagenomics","themetagenomics","Exploring Thematic Structure and Predicted Functionality of 16s"
"zstdr","zstdr","R Bindings to Zstandard Compression Library"
"capn","capn","Capital Asset Pricing for Nature"
"imaginator","imaginator","Simulate General Insurance Policies and Losses"
"ck37r","ck37r","Chris Kennedy's R Toolkit"
"eesim","eesim","Simulate and Evaluate Time Series for Environmental Epidemiology"
"glmertree","glmertree","Generalized Linear Mixed Model Trees"
